Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Ordovician and Cambrian Composite,40478000.0,7500.0,100.0,2000.0
"Clinton, Medina, and Tuscarora Formations",48890000.0,7500.0,100.0,200.0
"McKenzie, Lockport, and Newburg Formations",19510000.0,7000.0,30.0,250.0
Oriskany Sandstone,37787000.0,7000.0,20.0,200.0
