Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Lower Paleozoic Composite,5883000.0,9000.0,300.0,3000.0
Lower Paleozoic Composite Deep,5815000.0,17000.0,350.0,3500.0
Hunton Group and Misener Sandstone,7790000.0,7000.0,110.0,250.0
Hunton Group and Misener Sandstone Deep,4130000.0,18000.0,230.0,500.0
Mississippian Composite,23937000.0,6900.0,255.0,1700.0
Mississippian Composite Deep,4082000.0,15400.0,250.0,3500.0
Lower Virgilian,2748000.0,5900.0,380.0,700.0
Chase and Council Grove Groups,9521000.0,3750.0,420.0,1050.0
