Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Mount Simon Sandstone,35432000.0,4500.0,720.0,1200.0
Ordovician Composite,14508000.0,4650.0,1470.0,4200.0
Devonian and Silurian Composite,8439000.0,4100.0,240.0,1100.0
