Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Pre-Punta Gorda,20709000.0,12000.0,1100.0,3250.0
Sunniland Formation,3024000.0,11400.0,65.0,250.0
Gordon Pass and Marco Junction Formations,17097000.0,9500.0,525.0,750.0
Dollar Bay Formation,16085000.0,9000.0,140.0,350.0
Cedar Keys and Lawson Formations,22454000.0,4700.0,220.0,700.0
