Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Lathrop Sand of the Panoche Formation,2115000.0,9000.0,650.0,2000.0
Moreno Formation Sands,2469000.0,9000.0,400.0,1200.0
Domengine Formation,2372000.0,5730.0,30.0,100.0
Temblor Formation,2643000.0,7000.0,600.0,2000.0
Temblor Formation Deep,116000.0,15500.0,1050.0,3500.0
Stevens Sand of the Monterey Formation,858000.0,8500.0,660.0,2200.0
Stevens Sand of the Monterey Formation Deep,87000.0,14350.0,660.0,2200.0
