Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Ordovician Composite,2297000.0,8000.0,1100.0,4700.0
Hunton Group,7704000.0,8000.0,30.0,270.0
Batesville Sandstone and Wedington Sandstone Member,1781000.0,9000.0,10.0,250.0
