Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Chappel Limestone and Ellenburger Group,10848000.0,4500.0,300.0,2000.0
Bend Group and Comyn Formation,17326000.0,5750.0,200.0,400.0
