Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Entrada Sandstone,4107000.0,6000.0,125.0,250.0
Dakota Sandstone,5829000.0,5830.0,45.0,225.0
Gallup Sandstone,4670000.0,5450.0,45.0,350.0
Lewis Shale and Mesaverde Group,1760000.0,4000.0,160.0,2000.0
