Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Lower Paleozoic Composite ,11484000.0,8000.0,930.0,2300.0
Lower Paleozoic Composite Deep,5991000.0,17400.0,830.0,2100.0
Permian Composite,6168000.0,5000.0,600.0,7500.0
