Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Paleozoic Composite,1697000.0,7000.0,900.0,3000.0
Paleozoic Composite Deep,1207000.0,16000.0,900.0,3500.0
Lower Cretaceous Composite,7502000.0,7250.0,110.0,350.0
Lower Cretaceous Composite Deep,3777000.0,15000.0,55.0,275.0
Green River Formation,1137000.0,5500.0,1980.0,5500.0
