Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Deadwood and Black Island Formations,40554000.0,5000.0,240.0,400.0
Deadwood and Black Island Formations Deep,5930000.0,13500.0,550.0,1000.0
"Winnipegosis Formation, Interlake Formation, and Bighorn Group",11455000.0,10000.0,900.0,1800.0
Three Forks Formation and Jefferson Group,6175000.0,7700.0,260.0,750.0
Kibbey Formation and Madison Group,33043000.0,6400.0,300.0,1800.0
Minnelusa Group,17514000.0,7300.0,85.0,475.0
Lower Swift Formation,46694000.0,5500.0,70.0,350.0
Inyan Kara Group,44326000.0,5000.0,130.0,250.0
Newcastle Formation,34223000.0,4500.0,40.0,60.0
