Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Ordovician and Cambrian Composite,30262000.0,6500.0,600.0,3000.0
Salina Group and Middle Silurian Composite,22099000.0,5100.0,460.0,1100.0
Sylvania and Bois Blanc Formations and Bass Islands Dolomite (NQ),,,,
Dundee Formation,4569000.0,3500.0,100.0,275.0
