Name,Area_ac,Depth_ft,PorousIntervalThickness_ft,TotalThickness_ft
Lower Cretaceous Composite,14176000.0,3750.0,245.0,700.0
Upper Cretaceous Composite,300000.0,3500.0,230.0,600.0
